(-1.784034496053111, -38): (1, 0) (1, 0) (1, 1) (0, 0) (0, 0) (1, 1) (0, 1) (0, 1) (1, 1) (1, 0) (0, 1) (1, 0) (1, 0) (0, 0) (0, 1) (0, 1) (0, 0) (1, 1) (0, 0) (1, 0) (1, 1) (1, 0) (1, 0) (0, 0) (1, 1) (0, 0) (1, 0) (1, 1) (0, 1) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (0, 1) (1, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 1) (1, 0) (0, 0) (1, 1) (1, 1) (0, 1) (1, 0) (0, 0) (0, 0) (1, 1) (1, 1) (0, 0) (0, 1) (0, 1) 
(1.016646012279511, -28): (1, 0) (1, 0) (1, 1) (0, 0) (0, 0) (1, 1) (0, 1) (0, 1) (1, 1) (1, 0) (0, 1) (1, 0) (1, 0) (0, 0) (0, 0) (0, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 1) (1, 0) (1, 0) (0, 0) (1, 1) (0, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (0, 1) (1, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 1) (1, 0) (1, 1) (1, 1) (0, 0) (1, 1) (1, 1) (1, 1) (0, 0) (1, 1) (0, 1) (0, 1) (1, 0) (0, 0) (0, 0) (0, 1) (1, 1) (0, 0) (0, 1) (0, 1) 
(1.4985321425471574, -25): (1, 0) (1, 0) (1, 1) (0, 0) (0, 0) (1, 1) (0, 1) (0, 1) (1, 0) (1, 0) (0, 1) (1, 0) (1, 0) (0, 0) (0, 0) (0, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 1) (1, 0) (1, 0) (0, 0) (1, 1) (0, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (0, 1) (1, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 1) (1, 0) (1, 1) (1, 1) (0, 0) (1, 1) (1, 1) (1, 1) (0, 0) (1, 1) (0, 1) (0, 1) (1, 0) (0, 0) (0, 0) (0, 1) (1, 1) (0, 0) (0, 1) (0, 1) 
(1.4985321425471574, -25): (1, 0) (1, 0) (1, 1) (0, 0) (0, 0) (1, 1) (0, 1) (0, 1) (1, 0) (1, 0) (0, 1) (1, 0) (1, 0) (0, 0) (0, 0) (0, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 1) (1, 0) (1, 0) (0, 0) (1, 1) (0, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (0, 1) (1, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 1) (1, 0) (1, 1) (1, 1) (0, 0) (1, 1) (1, 1) (1, 1) (0, 0) (1, 1) (0, 1) (0, 1) (1, 0) (0, 0) (0, 0) (0, 1) (1, 1) (0, 0) (0, 1) (0, 1) 
(1.6007787384052208, -32): (1, 0) (1, 0) (1, 1) (0, 0) (0, 0) (1, 1) (0, 1) (0, 1) (1, 0) (1, 0) (0, 1) (1, 0) (1, 0) (1, 0) (0, 0) (0, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 1) (1, 0) (1, 0) (0, 0) (1, 1) (0, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (0, 1) (1, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 1) (1, 0) (1, 1) (1, 1) (0, 0) (1, 1) (1, 1) (1, 1) (0, 0) (1, 1) (0, 1) (0, 1) (1, 0) (0, 0) (0, 0) (0, 1) (1, 1) (1, 0) (0, 1) (0, 1) 
(1.9362990869243621, -29): (1, 0) (1, 1) (1, 1) (0, 0) (0, 0) (1, 0) (0, 1) (0, 1) (1, 0) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (0, 0) (0, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 1) (1, 0) (1, 0) (0, 0) (1, 1) (0, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (0, 1) (1, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 1) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (1, 1) (1, 1) (0, 0) (1, 0) (0, 1) (0, 1) (0, 0) (0, 0) (0, 0) (0, 1) (1, 1) (1, 0) (0, 1) (0, 1) 
(-1.4083167668283958, -30): (1, 0) (1, 1) (1, 0) (0, 0) (0, 1) (1, 0) (0, 1) (0, 1) (1, 0) (0, 0) (1, 1) (1, 0) (0, 1) (1, 0) (0, 0) (0, 1) (1, 0) (1, 1) (0, 0) (1, 0) (0, 0) (1, 0) (1, 0) (0, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 0) (1, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (0, 0) (1, 0) (0, 1) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (1, 1) (1, 1) (0, 0) (1, 0) (0, 1) (0, 1) (0, 0) (0, 0) (0, 0) (0, 1) (1, 1) (1, 0) (0, 1) (0, 1) 
(1.0868131929648823, -30): (1, 0) (1, 1) (1, 0) (0, 0) (0, 1) (1, 0) (0, 1) (0, 1) (1, 0) (1, 0) (1, 1) (1, 0) (0, 1) (1, 0) (0, 0) (0, 1) (1, 0) (1, 1) (0, 0) (1, 0) (0, 0) (1, 0) (1, 0) (0, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (0, 0) (1, 0) (0, 1) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (1, 1) (1, 1) (0, 0) (1, 0) (0, 1) (0, 1) (0, 0) (0, 0) (0, 0) (0, 1) (1, 1) (1, 0) (0, 1) (0, 1) 
(1.1698506632018122, -29): (1, 0) (1, 0) (1, 0) (0, 0) (0, 1) (1, 0) (0, 1) (0, 0) (1, 0) (1, 0) (1, 1) (1, 0) (0, 1) (1, 0) (0, 0) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (0, 0) (1, 0) (1, 0) (0, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (1, 1) (0, 1) (1, 0) (1, 1) (1, 1) (1, 1) (0, 0) (1, 0) (0, 0) (0, 1) (1, 0) (0, 0) (0, 0) (0, 1) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (1, 1) (1, 1) (0, 0) (1, 0) (0, 1) (0, 1) (0, 0) (0, 0) (0, 0) (0, 1) (1, 1) (1, 0) (0, 1) (0, 1) 
(-1.4890983817071688, -32): (1, 0) (1, 0) (1, 0) (0, 0) (0, 1) (1, 0) (0, 1) (0, 0) (1, 0) (1, 0) (1, 1) (0, 0) (0, 1) (1, 0) (0, 0) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (0, 0) (1, 0) (1, 0) (0, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (1, 1) (1, 1) (1, 0) (1, 1) (1, 1) (1, 1) (0, 0) (1, 0) (0, 0) (0, 1) (1, 0) (0, 0) (0, 0) (0, 1) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (1, 1) (1, 1) (0, 0) (1, 0) (0, 1) (0, 1) (0, 0) (0, 0) (0, 0) (0, 1) (1, 1) (1, 0) (0, 1) (0, 1) 
